id_review,timestamp,raw_text,clean_text,rating,emotion,intensity,source,product_id,category,marca,modelo
SHOP_0001,17 ago 2024,Pues mi lap muy buena para la configuración y sí cumplen con todas mis expectativas.,[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0002,28 ene 2024,"La verdad por el precio es un buen producto, la uso para la escuela y la verdad funciona muy bien, venía en su caja, sellada, con sus cables para carga, todo venía super bien, es liviana y se puede llevar fácil en la mochila, recomiendo la compra.",[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0003,24 nov 2023,M pareció d buena calidad y es lo q esperaba. Muy ligera ya con esta son dos las q e comprado.,[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0004,06 mar 2024,"Wowow me enamoré del equipo sin duda una gran inversión, es una máquina muy rápida y lo mejor de todoo económica mis amores.",[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0005,18 sept 2024,"Muy buena marca y fácil de configurar.
Me gusto mucho y es portátil, del tiempo que la he ocupado no ha presentado ninguna falla, biene bien protegida con cargador y todo 😉👌.",[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0006,17 abr 2024,"Supero mis espectativas, práctica , ligera, funcional, ideal para trabajos escolares, es veloz, no hacer caso a malos comentarios creo que por el precio es un gran producto. Llevo más de 4 meses y no ha tenido ninguna falla.",[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0007,04 ago 2023,Muy buen producto de acuerdo a su precio y todo.,[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0008,06 oct 2024,"Me pareció un buen producto, muy accesible y de muy buena calidad, específicamente para tareas y trabajos.
Es muy recomendable por el precio.",[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0009,13 jul 2023,Muy buen producto cumplió mis expectativas.,[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0010,12 nov 2023,Bien. Pero la calidad de imagen no es buena.,[BLOQUEADO_POR_SEGURIDAD],Calificación 4 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0011,28 ene 2024,"Bueno, sin embargo hay detalles como la imagen de pantalla, todo lo demás está perfecto, la uso para la uni y me sirve bastante bien.",[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0012,12 mar 2024,Muy buena la recomiendo para la escuela y tienes que comprar microsoft no lo tiene incluído.,[BLOQUEADO_POR_SEGURIDAD],Calificación 4 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0013,09 jun 2024,Por el precio se me hace buen producto lastima que no tenga para dvd.,[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0014,02 sept 2024,Me parece un buen equipo trabaja rápido y súper excelente lo recomiendo.,[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0015,03 may 2024,Muy buen equipo solo q después de la actualización solo quedan 78 gb para el almacenamiento.,[BLOQUEADO_POR_SEGURIDAD],Calificación 4 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0016,12 abr 2024,"Excelente calidad, lo malo de los creadores de microsoft es que con ésta nueva versión de windows ya no te permite instalar las aplicaciones que quieras, cada vez son más restrictivas sus versiones de microsoft windows.",[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0017,12 feb 2025,"Excelente para el trabajo de oficina, cuenta con lo necesario para trabajo diario.",[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0018,24 ene 2024,Excelente compra 👌.,[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0019,25 feb 2024,"Es perfecta en. Coppel estaba al doble , lastima que no compre la garantía espero no necesitarla.",[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0020,23 may 2024,Buen producto precio calidad!.,[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0021,30 mar 2024,La recomiendo mucho para estudiantes.,[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0022,03 dic 2023,Es lo que promete por el precio.,[BLOQUEADO_POR_SEGURIDAD],Calificación 4 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0023,29 nov 2023,"Es muy bonita me encanta, funciona bien y todo viene sellado desde fábrica y el precio es execelente la ameeee.",[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0024,13 jun 2024,Sigo en uso y sigo evaluando el producto por el precio u uso muy poco esta bien es fe muy buen tamaño y no es pesado.,[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0025,13 dic 2023,X ser mi primer laptop me parecio muy buena.,[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0026,01 dic 2023,Exelente.,[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0027,28 sept 2025,"Actualizo la opinion. La laptop esta en ingles, si es un poco tedioso encontrar rl ajuste para que todo este en español, ya pude configurarla y la laptop tiene buen funcionamiento.",[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0028,28 abr 2024,Está a bien la computadora lo malo es que tarda en descargar un programa.,[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0029,30 nov 2023,Excelente opcion para tareas.,[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0030,04 oct 2023,Es lo que esperaba.,[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
SHOP_0031,16 dic 2024,"Me pareció excelente precio calidad, muy ligera y el color esta lindo 👍🏽👍🏽.",[BLOQUEADO_POR_SEGURIDAD],Calificación 5 de 5,,,Mercado Libre,ML_PROD_001,,HP,HP 14
